REGION	DISTRICT	Comment	Required Edit	Required Edit	Facility 2009 List comparison
Singida	Singida MC				Has assigned facilities
Tabora	Igunga				Has assigned facilities
Tabora	Igunga	Duplicate, Remove			
Tabora	Nzega				Has assigned facilities
Tabora	Nzega	Duplicate, Remove			
Tabora	Sikonge				Has assigned facilities
Tabora	Sikonge	Duplicate, Remove			
Tabora	Tabora MC				Has assigned facilities
Tabora	Urambo				Has assigned facilities
Tabora	Urambo	Duplicate, Remove			
Tabora	Uyui				NO assigned facilities
Tabora	Uyui	Duplicate, Remove			
Tanga	Handeni DC				Has assigned facilities
Tanga	Kilindi DC				Has assigned facilities
Tanga	Korogwe DC				Has assigned facilities
Tanga	Korogwe TC				Has assigned facilities
Tanga	Lushoto DC				Has assigned facilities
Tanga	Mkinga DC				Has assigned facilities
Tanga	Muheza DC				Has assigned facilities
Tanga	Pangani DC				Has assigned facilities
Tanga	Tanga City	ADD, was missing			Has assigned facilities
Katavi	Mlele	NEW!			NO assigned facilities
Simiyu	Busega	NEW!			NO assigned facilities
Simiyu	Itilima	NEW!			NO assigned facilities
Njombe	Wanging'ombe	NEW!			NO assigned facilities
Tabora	Tabora DC	ADD, was missing; Is it in Tabora Region?			Has assigned facilities
