id,title,region_id,address,serial_number,email,owner,ownership_type,phone,place_type,created_at,updated_at,type_id,msisdn,is_user_submitted,latitude,longitude,alternative_names,status,hmis,remarks,registration_num,source,current_id
19726,Mwazye Mission,25644,,5294,,RC,FBO,,,2013-01-24 00:34:13.307763+00,2013-01-24 00:34:13.307819+00,16,,f,-8.45,31.733333,"",Operating,1502071,"","","",1502098
19727,Mwimbi,25645,,5295,,LGA,Government,,,2013-01-24 00:34:13.340704+00,2013-01-24 00:34:13.340746+00,17,,f,-8.660299,31.66724,"",Operating,1502005,"",RK/KJ/VC.141,"",1502099
19728,Myunga,25646,,5296,,LGA,Government,,,2013-01-24 00:34:13.376207+00,2013-01-24 00:34:13.376256+00,16,,f,-8.35336,31.58127,"",Operating,1502072,"",NB2315,"",1502100
19729,Nankanga,25647,,5297,,LGA,Government,,,2013-01-24 00:34:13.409437+00,2013-01-24 00:34:13.409491+00,16,,f,-8.25757,32.04928,"",Operating,1502073,"",RK/KJ/VC120.,"",1502101
19730,Ngorotwa,25648,,5298,,LGA,Government,,,2013-01-24 00:34:13.442758+00,2013-01-24 00:34:13.442807+00,17,,f,-8.49018,31.21338,"",Operating,1502006,"",RK/KJ/VC.216,"",1502102
19731,Ninga,25649,,5299,,LGA,Government,,,2013-01-24 00:34:13.475537+00,2013-01-24 00:34:13.475589+00,16,,f,-8.51157,31.82329,"",Operating,1502074,"",RK/KJ/VC.138,"",1502103
19732,Nkwilo,25650,,5300,,LGA,Government,,,2013-01-24 00:34:13.50571+00,2013-01-24 00:34:13.505759+00,16,,f,,,"",Under Construction,1502118,Edited name from Mkwilo to Nkwilo,RK/KJ/VC.348,"",1502104
19733,Sakalilo,25651,,5301,,LGA,Government,,,2013-01-24 00:34:13.538174+00,2013-01-24 00:34:13.538225+00,16,,f,-8.20622,31.97333,"",Operating,1502075,"",RK/KJ/VC.118,"",1502105
19734,Samazi,25652,,5302,,LGA,Government,,,2013-01-24 00:34:13.56945+00,2013-01-24 00:34:13.569501+00,16,,f,-8.36201,31.08111,"",Operating,1502076,"",RK/KJ/VC.229,"",1502106
19735,Sandulula,25653,,5303,,LGA,Government,,,2013-01-24 00:34:13.601255+00,2013-01-24 00:34:13.601297+00,16,,f,-8.18457,31.82509,"",Operating,1502077,"",RK/KJ/VC.51,"",1502107
19736,Singiwe,25654,,5304,,LGA,Government,,,2013-01-24 00:34:13.634364+00,2013-01-24 00:34:13.634425+00,16,,f,-8.24816,31.52659,"",Operating,1502078,"",RK/KJ/VC.57,"",1502109
