id,title,type_id,parent_region_id,created_at,updated_at
22826,Kyaseni,5,22789,2013-01-24 00:29:05.395682+00,2013-01-24 00:29:05.395729+00
22827,Msuni,5,22810,2013-01-24 00:29:05.643151+00,2013-01-24 00:29:05.643216+00
22828,Mrimbo Uuwo,5,22771,2013-01-24 00:29:05.949695+00,2013-01-24 00:29:05.94974+00
22829,Yamu,5,22742,2013-01-24 00:29:06.224403+00,2013-01-24 00:29:06.224462+00
22830,Moshi Magharibi,4,22725,2013-01-24 00:29:06.413068+00,2013-01-24 00:29:06.413113+00
22831,Kaloleni,6,22830,2013-01-24 00:29:06.419366+00,2013-01-24 00:29:06.419428+00
22832,Kaloleni,5,22831,2013-01-24 00:29:06.498113+00,2013-01-24 00:29:06.498159+00
22833,Karanga,6,22830,2013-01-24 00:29:06.724717+00,2013-01-24 00:29:06.72478+00
22834,Bonite,5,22833,2013-01-24 00:29:06.731671+00,2013-01-24 00:29:06.731737+00
22835,Longuo,6,22830,2013-01-24 00:29:06.957457+00,2013-01-24 00:29:06.9575+00
22836,Kiusa,6,22830,2013-01-24 00:29:07.182329+00,2013-01-24 00:29:07.182375+00
22837,Bondeni,6,22830,2013-01-24 00:29:07.398537+00,2013-01-24 00:29:07.398589+00
22838,Sokoni,5,22837,2013-01-24 00:29:07.406248+00,2013-01-24 00:29:07.406309+00
22839,Kilimanjaro,6,22830,2013-01-24 00:29:07.94395+00,2013-01-24 00:29:07.944002+00
22840,CCP,5,22839,2013-01-24 00:29:08.01152+00,2013-01-24 00:29:08.011566+00
22841,Moshi Mashariki,4,22725,2013-01-24 00:29:08.157725+00,2013-01-24 00:29:08.157771+00
22842,Rau,6,22841,2013-01-24 00:29:08.223415+00,2013-01-24 00:29:08.223462+00
22843,Ushirika,5,22842,2013-01-24 00:29:08.230489+00,2013-01-24 00:29:08.230589+00
22844,Pasua,6,22830,2013-01-24 00:29:08.446018+00,2013-01-24 00:29:08.446065+00
22845,Pasua Sokoni,5,22844,2013-01-24 00:29:08.514174+00,2013-01-24 00:29:08.514237+00
22846,Mbuyuni,5,22837,2013-01-24 00:29:08.99414+00,2013-01-24 00:29:08.994202+00
22847,Majengo,6,22841,2013-01-24 00:29:09.167555+00,2013-01-24 00:29:09.167601+00
22848,Mawenzi,6,22841,2013-01-24 00:29:09.401928+00,2013-01-24 00:29:09.401998+00
22849,Kilimanjaro,6,22841,2013-01-24 00:29:10.472375+00,2013-01-24 00:29:10.472422+00
22850,Kilimanjaro,5,22849,2013-01-24 00:29:10.478493+00,2013-01-24 00:29:10.478579+00
22851,Mawenzi,6,22830,2013-01-24 00:29:10.723243+00,2013-01-24 00:29:10.723299+00
22852,Kaloleni,6,22841,2013-01-24 00:29:11.133714+00,2013-01-24 00:29:11.133761+00
22853,Karanga,5,22833,2013-01-24 00:29:11.390772+00,2013-01-24 00:29:11.390833+00
22854,Kiusa Line,5,22836,2013-01-24 00:29:11.671556+00,2013-01-24 00:29:11.671603+00
22855,Kiborloni,6,22830,2013-01-24 00:29:11.910149+00,2013-01-24 00:29:11.910196+00
22856,Mnazi mmoja,5,22855,2013-01-24 00:29:11.916807+00,2013-01-24 00:29:11.916864+00
22857,Korongoni,6,22841,2013-01-24 00:29:12.651224+00,2013-01-24 00:29:12.651289+00
22858,Kibo,5,22835,2013-01-24 00:29:12.920236+00,2013-01-24 00:29:12.9203+00
22859,Magereza,5,22833,2013-01-24 00:29:13.21632+00,2013-01-24 00:29:13.216393+00
22860,Majengo,6,22830,2013-01-24 00:29:13.380542+00,2013-01-24 00:29:13.380589+00
22861,Sokoni,5,22860,2013-01-24 00:29:13.436447+00,2013-01-24 00:29:13.43651+00
22862,Rengua,5,22851,2013-01-24 00:29:14.048028+00,2013-01-24 00:29:14.048089+00
22863,Mjimpya,6,22841,2013-01-24 00:29:14.221734+00,2013-01-24 00:29:14.221781+00
22864,Kiusa,6,22841,2013-01-24 00:29:14.598877+00,2013-01-24 00:29:14.598927+00
22865,Karanga,6,22841,2013-01-24 00:29:15.010783+00,2013-01-24 00:29:15.010841+00
